county,percentage w internet,matched edu,matched population,matched temp,matched humidity,matched emissions
"Greene County, Alabama",36.4,7.6,7720,54.8,68,79
"Hale County, Alabama",47.4,10.6,14785,54.6,68,79
"Henry County, Alabama",56.2,13.5,17146,59.1,68,79
"Houston County, Alabama",65.9,15,107202,60.4,68,79
"Jackson County, Alabama",59.6,11.4,52579,51,68,79
"Jefferson County, Alabama",71.8,22.7,674721,53.4,68,79
"Lamar County, Alabama",55.9,7.9,13972,54,68,79
"Lauderdale County, Alabama",68.2,17.2,93564,59.1,68,79
"Lawrence County, Alabama",55,11.2,33073,50.8,68,79
"Lee County, Alabama",80.4,20.8,174241,55.4,68,79
"Limestone County, Alabama",75.7,16.4,103570,50.6,68,79
"Lowndes County, Alabama",50,9.8,10311,56.3,68,79
"Macon County, Alabama",57.1,12.5,19532,56,68,79
"Madison County, Alabama",82.6,28.5,388153,51.4,68,79
"Marengo County, Alabama",50,11.5,19323,55.7,68,79
"Marion County, Alabama",57.9,9.7,29341,53.1,68,79
"Marshall County, Alabama",66.7,13.6,97612,52.6,68,79
"Mobile County, Alabama",66.3,16.5,414809,60.5,68,79
"Monroe County, Alabama",41.8,10.1,19772,57.6,68,79
"Montgomery County, Alabama",69,22.2,228954,56.4,68,79
"Morgan County, Alabama",69,14.3,123421,51.6,68,79
"Perry County, Alabama",35,12,8511,54.7,68,79
"Pickens County, Alabama",50.1,10.9,19123,54.8,68,79
"Pike County, Alabama",57.6,17.3,33009,57.2,68,79
"Randolph County, Alabama",63.2,12.5,21967,54.1,68,79
"Russell County, Alabama",62.3,11.6,59183,56.5,68,79
"St. Clair County, Alabama",74.1,12.4,91103,53,68,79
"Shelby County, Alabama",84.5,29.3,223024,54,68,79
"Sumter County, Alabama",53.2,11.4,12345,55.1,68,79
"Talladega County, Alabama",60.7,10.4,82149,54.1,68,79
"Tallapoosa County, Alabama",66.7,13.1,41311,54.5,68,79
"Tuscaloosa County, Alabama",71.7,18,227036,54.1,68,79
"Walker County, Alabama",61.4,9.2,65342,52.8,68,79
"Washington County, Alabama",60.9,10.4,15388,57.9,68,79
"Wilcox County, Alabama",48.3,7.8,10600,56.5,68,79
"Winston County, Alabama",56.4,9.7,23540,51.8,68,79
"Aleutians East Borough, Alaska",67,12.8,3420,35.5,70.5,14
"Aleutians West Census Area, Alaska",71,13.7,5232,36.8,70.5,14
"Anchorage Municipality, Alaska",84.4,24.2,291247,22.6,70.5,14
"Bethel Census Area, Alaska",52.6,6,18666,20.5,70.5,14
"Bristol Bay Borough, Alaska",79.6,17.2,844,27.2,70.5,14
"Chugach Census Area, Alaska",88,19.2,7102,24.4,70.5,14
"Copper River Census Area, Alaska",70.2,22.7,2617,12.6,70.5,14
"Denali Borough, Alaska",87.5,45.1,1619,13.7,70.5,14
"Dillingham Census Area, Alaska",55.1,11.6,4857,25.4,70.5,14
"Fairbanks North Star Borough, Alaska",84.5,20.9,95655,11.3,70.5,14
"Haines Borough, Alaska",80.7,22.1,2080,22.5,70.5,14
"Hoonah-Angoon Census Area, Alaska",55.8,14.5,2365,27.6,70.5,14
"Juneau City and Borough, Alaska",82.7,27.2,32255,23.7,70.5,14
"Kenai Peninsula Borough, Alaska",80,18.1,58799,23.8,70.5,14
"Ketchikan Gateway Borough, Alaska",80.4,17.7,13948,29.5,70.5,14
"Kodiak Island Borough, Alaska",79.2,20.2,13101,31.9,70.5,14
"Kusilvak Census Area, Alaska",37.5,1.6,8368,20.6,70.5,14
"Lake and Peninsula Borough, Alaska",61.2,11.2,1476,27.5,70.5,14
"Matanuska-Susitna Borough, Alaska",82.9,14.3,107081,17.5,70.5,14
"Nome Census Area, Alaska",59.3,9.3,10046,18.2,70.5,14
"North Slope Borough, Alaska",55.9,8.5,11031,8.4,70.5,14
"Northwest Arctic Borough, Alaska",57.3,8.2,7793,11.1,70.5,14
"Petersburg Borough, Alaska",81.6,18.7,3398,26,70.5,14
"Prince of Wales-Hyder Census Area, Alaska",62.3,13.3,5753,34,70.5,14
"Sitka City and Borough, Alaska",79.5,24.8,8458,32.5,70.5,14
"Skagway Municipality, Alaska",86.9,20.5,1240,19.8,70.5,14
"Southeast Fairbanks Census Area, Alaska",74.6,14.4,6808,8.7,70.5,14
"Wrangell City and Borough, Alaska",72.9,14.9,2127,29.1,70.5,14
"Yakutat City and Borough, Alaska",61.5,11.6,662,24.6,70.5,14
"Yukon-Koyukuk Census Area, Alaska",45.6,8.4,5343,9,70.5,14
"Apache County, Arizona",44.4,7.9,71887,36.4,39,42
"Cochise County, Arizona",78.7,17.9,125922,47.6,39,42
"Coconino County, Arizona",77.6,22.1,143476,37.9,39,42
"Gila County, Arizona",66.9,14.1,54018,46.2,39,42
"Graham County, Arizona",66.9,9.2,38837,47.7,39,42
"Greenlee County, Arizona",59.9,10.1,9498,43.5,39,42
"La Paz County, Arizona",65.8,9.3,21108,56.4,39,42
"Maricopa County, Arizona",83.3,22,4485414,56.4,39,42
"Mohave County, Arizona",74.6,10.3,212181,46.9,39,42
"Navajo County, Arizona",61,10.4,110924,37.3,39,42
"Pima County, Arizona",79.7,22.5,1047279,54.6,39,42
"Pinal County, Arizona",81.1,14.1,462789,55.3,39,42
"Santa Cruz County, Arizona",66.7,13.4,46498,48.3,39,42
"Yavapai County, Arizona",81,20.1,235099,45.5,39,42
"Yuma County, Arizona",69.5,9.7,213787,58.6,39,42
"Arkansas County, Arkansas",53.9,11.8,17149,51.5,67,40
"Ashley County, Arkansas",55.5,8.7,19062,53.5,67,40
"Baxter County, Arkansas",75.6,13.7,41627,47,67,40
"Benton County, Arkansas",80.5,21.8,284333,47.6,67,40
"Boone County, Arkansas",72.8,12.5,37373,47,67,40
"Bradley County, Arkansas",50.9,9.9,10545,52.4,67,40
"Calhoun County, Arkansas",57.8,8.5,4739,52,67,40
"Carroll County, Arkansas",69.4,14.9,28260,46.9,67,40
"Chicot County, Arkansas",52.2,10.5,10208,53.7,67,40
"Clark County, Arkansas",62.4,15.3,21446,50.9,67,40
"Clay County, Arkansas",57.4,9.8,14552,48.4,67,40
"Cleburne County, Arkansas",62.9,12.7,24711,49,67,40
"Cleveland County, Arkansas",57.8,12.1,7550,51.1,67,40
"Columbia County, Arkansas",52.7,13.1,22801,52.1,67,40
"Conway County, Arkansas",60.3,12.5,20715,50,67,40
"Craighead County, Arkansas",71.4,17.1,111231,49.3,67,40
"Crawford County, Arkansas",64.9,12.9,60133,48.7,67,40
"Crittenden County, Arkansas",57.3,11.2,48163,50.4,67,40
"Cross County, Arkansas",56.5,10,16833,49.6,67,40
"Dallas County, Arkansas",48.4,8.5,6482,50.8,67,40
"Desha County, Arkansas",48.5,9.5,11395,52.2,67,40
"Drew County, Arkansas",65.5,15.2,17350,52.2,67,40
"Faulkner County, Arkansas",78.3,20.1,123498,49.5,67,40
"Franklin County, Arkansas",56.9,8,17097,48.7,67,40
"Fulton County, Arkansas",66.9,9.8,12075,47.6,67,40
"Garland County, Arkansas",68.4,16.4,100180,49.6,67,40
"Grant County, Arkansas",65.7,14.5,17958,51,67,40
"Greene County, Arkansas",67.2,11.5,45736,48.7,67,40
"Hempstead County, Arkansas",52.5,11.5,20065,51.7,67,40
"Hot Spring County, Arkansas",55.3,11.2,33040,50.7,67,40
"Howard County, Arkansas",59.7,9.5,12785,50.6,67,40
"Independence County, Arkansas",62.8,12.3,37938,48.6,67,40
"Izard County, Arkansas",64.9,11.1,13577,47.3,67,40
"Jackson County, Arkansas",55.2,8.5,16755,49,67,40
"Jefferson County, Arkansas",55.9,12.4,67260,51.2,67,40
"Johnson County, Arkansas",60.2,11.2,25749,48.6,67,40
"Lafayette County, Arkansas",49.8,10.8,6308,52.9,67,40
"Lawrence County, Arkansas",61.1,10,16216,48.2,67,40
"Lee County, Arkansas",42.5,6.6,8600,50.7,67,40
"Lincoln County, Arkansas",53.8,6.6,12941,51.5,67,40
"Little River County, Arkansas",58.1,10.4,12026,52.8,67,40
"Logan County, Arkansas",62.3,8.9,21131,49.5,67,40
"Lonoke County, Arkansas",73.8,13.6,74015,50.4,67,40
"Madison County, Arkansas",63.9,8.4,16521,46.6,67,40
"Marion County, Arkansas",69,12.1,16826,47.3,67,40
"Miller County, Arkansas",63.1,12.5,42600,53.6,67,40
"Mississippi County, Arkansas",59.8,10.3,40685,50.3,67,40
"Monroe County, Arkansas",48.4,9.1,6799,51,67,40
"Montgomery County, Arkansas",61.9,12,8484,49.4,67,40
"Nevada County, Arkansas",44.2,8.2,8310,51.4,67,40
"Newton County, Arkansas",64.9,12.3,7225,46.5,67,40
"Ouachita County, Arkansas",53.9,9.8,22650,51.5,67,40
"Perry County, Arkansas",63.4,13.1,10019,50.4,67,40
"Phillips County, Arkansas",47.6,11.2,16568,51.3,67,40
"Pike County, Arkansas",59.7,13.5,10171,50.4,67,40
"Poinsett County, Arkansas",54.2,8.1,22965,49.5,67,40
"Polk County, Arkansas",66,11.2,19221,49,67,40
"Pope County, Arkansas",71,15.9,63381,49.1,67,40
"Prairie County, Arkansas",52.9,10.9,8282,50.7,67,40
"Pulaski County, Arkansas",72.4,23.6,399125,50.3,67,40
"Randolph County, Arkansas",60.3,9.2,18571,48,67,40
"St. Francis County, Arkansas",47.5,8.4,23090,50.2,67,40
"Saline County, Arkansas",74.9,18.8,123416,50.4,67,40
"Scott County, Arkansas",56.9,8.8,9836,49,67,40
"Searcy County, Arkansas",59.4,8,7828,46.8,67,40
"Sebastian County, Arkansas",66.8,15.5,127799,49.7,67,40
"Sevier County, Arkansas",58.8,9,15839,51.7,67,40
"Sharp County, Arkansas",61.6,7.6,17271,47.8,67,40
"Stone County, Arkansas",59.5,9.5,12359,47.2,67,40
"Union County, Arkansas",61.9,14.4,39054,52.9,67,40
"Van Buren County, Arkansas",62.1,12.3,15796,47.8,67,40
"Washington County, Arkansas",76.4,19.5,245871,47.4,67,40
"White County, Arkansas",63.6,13.8,76822,49.9,67,40
"Woodruff County, Arkansas",51.4,11.1,6269,49.8,67,40
"Yell County, Arkansas",60.2,9.6,20263,50,67,40
"Alameda County, California",87,34.4,1671329,51.1,69,94
"Alpine County, California",90.2,29.8,1129,32.5,69,94
"Amador County, California",78.4,14,39752,46.6,69,94
"Butte County, California",82,18.9,219186,48.1,69,94
"Calaveras County, California",81.2,15.3,45905,46.8,69,94
"Colusa County, California",64.6,9.5,21547,49.9,69,94
"Contra Costa County, California",87,29.8,1153526,51.5,69,94
"Del Norte County, California",77.7,10.9,27812,42.7,69,94
"El Dorado County, California",86,25.4,192843,42.5,69,94
"Fresno County, California",71.8,13.5,999101,44.2,69,94
"Glenn County, California",66.6,9.2,28393,48.6,69,94
"Humboldt County, California",78.7,21.2,135558,44.4,69,94
"Imperial County, California",66.2,9.4,181215,60,69,94
"Inyo County, California",83.3,19.2,18039,46,69,94
"Kern County, California",71,10.3,900202,49,69,94
"Kings County, California",70.8,9.2,152940,51.1,69,94
"Lake County, California",72.5,12.1,64386,46.3,69,94
"Lassen County, California",72.2,9.2,30573,31.9,69,94
"Los Angeles County, California",81.2,23.1,10039107,52.6,69,94
"Madera County, California",72.3,9.5,157327,44.2,69,94
"Marin County, California",91.3,44.3,258826,50.2,69,94
"Mariposa County, California",74.4,21.3,17203,43.3,69,94
"Mendocino County, California",73.8,17.1,86749,45.9,69,94
"Merced County, California",68.9,8.2,277680,50.6,69,94
"Modoc County, California",70.2,13.8,8841,31.5,69,94
"Mono County, California",85.2,22.2,14444,31.3,69,94
"Monterey County, California",77.1,16.7,434061,49.8,69,94
"Napa County, California",85.9,26.5,137744,49,69,94
"Nevada County, California",85.5,28.8,99755,40.6,69,94
"Orange County, California",87.9,28.4,3175692,59.4,69,94
"Placer County, California",90,28.2,398329,42,69,94
"Plumas County, California",76.6,19,18807,34,69,94
"Riverside County, California",82.3,14.9,2470546,55.7,69,94
"Sacramento County, California",84.2,21.1,1552058,51.4,69,94
"San Benito County, California",82.5,12.8,62808,48.7,69,94
"San Bernardino County, California",78.7,13.4,2180085,51.5,69,94
"San Diego County, California",86.7,26.8,3338330,53.6,69,94
"San Francisco County, California",86.3,46.4,881549,52.5,69,94
"San Joaquin County, California",75.7,12,762148,51,69,94
"San Luis Obispo County, California",86.6,24.2,283111,50.4,69,94
"San Mateo County, California",89.5,37.6,766573,51.6,69,94
"Santa Barbara County, California",83.3,21.6,446499,52.1,69,94
"Santa Clara County, California",90.2,37.2,1927852,49.7,69,94
"Santa Cruz County, California",86.2,27.6,273213,50.9,69,94
"Shasta County, California",78,15.6,180080,42,69,94
"Sierra County, California",66.3,14.8,3005,35,69,94
"Siskiyou County, California",75.1,16.1,43539,35.9,69,94
"Solano County, California",84.7,18.6,447643,51.2,69,94
"Sonoma County, California",86.3,26.5,494336,48.8,69,94
"Stanislaus County, California",73.8,11.1,550660,49.9,69,94
"Sutter County, California",74.3,13,96971,51.2,69,94
"Tehama County, California",71.1,11.8,65084,46.7,69,94
"Trinity County, California",71.9,15.2,12285,40.8,69,94
"Tulare County, California",67,8.5,466195,42.4,69,94
"Tuolumne County, California",77,17,54478,38.8,69,94
"Ventura County, California",83.6,23,846006,50.8,69,94
"Yolo County, California",84.3,24.9,220500,50.8,69,94
"Yuba County, California",76.2,11.2,78668,49.2,69,94
"Adams County, Colorado",81.1,16,519572,33.9,47.5,42
"Alamosa County, Colorado",70.3,14.6,16376,29,47.5,42
"Arapahoe County, Colorado",87.1,29.4,655070,33.8,47.5,42
"Archuleta County, Colorado",84.1,30.8,13359,30.3,47.5,42
"Baca County, Colorado",69,16.5,3506,38.7,47.5,42
"Bent County, Colorado",66.4,11.7,5650,38.8,47.5,42
"Boulder County, Colorado",91,41.1,330758,31,47.5,42
"Broomfield County, Colorado",92.6,36.6,74112,35.6,47.5,42
"Chaffee County, Colorado",81.2,29.1,19476,24.9,47.5,42
"Cheyenne County, Colorado",76.9,18.1,1748,37.4,47.5,42
"Clear Creek County, Colorado",85.2,40.3,9397,24.8,47.5,42
"Conejos County, Colorado",61.6,18.3,7461,27.1,47.5,42
"Costilla County, Colorado",62.7,18.9,3499,29.1,47.5,42
"Crowley County, Colorado",71.9,6.1,5922,37,47.5,42
"Custer County, Colorado",77.4,28.2,4704,28.5,47.5,42
"Delta County, Colorado",74.3,15.7,31196,31.4,47.5,42
"Denver County, Colorado",83.5,36.5,715522,35.6,47.5,42
"Dolores County, Colorado",79.7,17.7,2326,29.7,47.5,42
"Douglas County, Colorado",94.9,37.5,357978,33.5,47.5,42
"Eagle County, Colorado",79.8,35.2,55731,24.9,47.5,42
"Elbert County, Colorado",88.1,24.6,26062,32.8,47.5,42
"El Paso County, Colorado",87,24.5,730395,34.1,47.5,42
"Fremont County, Colorado",77.4,14.1,48939,32.1,47.5,42
"Garfield County, Colorado",74.4,20.5,61685,28.4,47.5,42
"Gilpin County, Colorado",88.1,37.3,5808,26.7,47.5,42
"Grand County, Colorado",83.7,30.2,15717,23,47.5,42
"Gunnison County, Colorado",82.2,36.8,16918,25.4,47.5,42
"Hinsdale County, Colorado",88.6,36.3,788,23.5,47.5,42
"Huerfano County, Colorado",69.2,18.2,6820,33.3,47.5,42
"Jackson County, Colorado",78,24.6,1379,22.4,47.5,42
"Jefferson County, Colorado",88.7,33.5,582910,33,47.5,42
"Kiowa County, Colorado",80.8,13.3,1446,37.9,47.5,42
"Kit Carson County, Colorado",74.5,12.2,7087,37.3,47.5,42
"Lake County, Colorado",71.8,31.7,7436,21.6,47.5,42
"La Plata County, Colorado",82,31.9,55638,31.7,47.5,42
"Larimer County, Colorado",89.8,30.8,359066,28.5,47.5,42
"Las Animas County, Colorado",65.5,14.4,14555,36.7,47.5,42
"Lincoln County, Colorado",72.4,9.4,5675,35.2,47.5,42
"Logan County, Colorado",74.4,15.2,21528,34,47.5,42
"Mesa County, Colorado",81,18.7,155703,32,47.5,42
"Mineral County, Colorado",71.8,43.8,865,23.8,47.5,42
"Moffat County, Colorado",74,14.3,13292,27.4,47.5,42
"Montezuma County, Colorado",75.2,21.1,25849,34,47.5,42
"Montrose County, Colorado",76.3,17.4,42679,32.2,47.5,42
"Morgan County, Colorado",68.9,11,29111,33.4,47.5,42
"Otero County, Colorado",65.2,13.4,18690,38.1,47.5,42
"Ouray County, Colorado",91.2,40.2,4874,27.8,47.5,42
"Park County, Colorado",88.3,27.4,17390,25.9,47.5,42
"Phillips County, Colorado",72.1,15.8,4530,35.1,47.5,42
"Pitkin County, Colorado",87.6,48.7,17358,24.4,47.5,42
"Prowers County, Colorado",67.5,12.1,11999,38.8,47.5,42
"Pueblo County, Colorado",70.2,15.7,168162,37.6,47.5,42
"Rio Blanco County, Colorado",78.3,16.3,6529,27.7,47.5,42
"Rio Grande County, Colorado",67,17.3,11539,26.6,47.5,42
"Routt County, Colorado",87.3,37.4,24829,25.3,47.5,42
"Saguache County, Colorado",68.2,17.3,6368,26,47.5,42
"San Juan County, Colorado",80.5,24,705,23.1,47.5,42
"San Miguel County, Colorado",84.6,43.1,8072,30.4,47.5,42
"Sedgwick County, Colorado",63.2,13.5,2404,34.8,47.5,42
"Summit County, Colorado",89.7,40.8,31055,21.7,47.5,42
"Teller County, Colorado",87.7,27.6,24710,28.4,47.5,42
"Washington County, Colorado",74.7,14.8,4817,34.5,47.5,42
"Weld County, Colorado",82.5,17.1,328981,33.1,47.5,42
"Yuma County, Colorado",71,13.8,9988,36.4,47.5,42
"Fairfield County, Connecticut",84.7,33,957419,46,65.5,11
"Hartford County, Connecticut",78.6,26.7,899498,45.4,65.5,11
"Litchfield County, Connecticut",83,26.1,185186,42.8,65.5,11
"Middlesex County, Connecticut",83.6,31.1,164245,45.9,65.5,11
"New Haven County, Connecticut",77.8,24.9,864835,45.4,65.5,11
"New London County, Connecticut",80.6,24.1,268555,46.3,65.5,11
"Tolland County, Connecticut",86,27.3,149788,44.9,65.5,11
"Windham County, Connecticut",76.7,16.7,116418,45.2,65.5,11
"Kent County, Delaware",77.1,16.2,181851,49.7,66.5,6
"New Castle County, Delaware",78.9,24.8,570719,48.9,66.5,6
"Sussex County, Delaware",77.6,21.4,237378,51.3,66.5,6
"District of Columbia, District of Columbia",81.6,43.5,689545,54.7,64,0.00
"Alachua County, Florida",82.4,26.9,269043,66.9,72,117
"Baker County, Florida",75.3,9.5,29210,64.5,72,117
"Bay County, Florida",77.9,17.9,174705,64.2,72,117
"Bradford County, Florida",60.7,7.4,28201,66.2,72,117
"Brevard County, Florida",83.9,22.7,601942,73,72,117
"Broward County, Florida",82.6,23.4,1952778,77,72,117
"Calhoun County, Florida",63.5,6.8,14105,63.2,72,117
"Charlotte County, Florida",80.3,19.4,188910,73.1,72,117
"Citrus County, Florida",79.1,14.9,149657,70.3,72,117
"Clay County, Florida",84.6,17.7,219252,67.2,72,117
"Collier County, Florida",82,27,384902,76.6,72,117
"Columbia County, Florida",71.7,10.2,71686,64,72,117
"DeSoto County, Florida",56.1,8.6,38001,72.2,72,117
"Dixie County, Florida",62.3,7.1,16826,66.6,72,117
"Duval County, Florida",77.7,20.8,957755,66.7,72,117
"Escambia County, Florida",78.6,18.3,318316,61.3,72,117
"Flagler County, Florida",79.4,19.3,115081,70.5,72,117
"Franklin County, Florida",69.4,15.7,12125,64.6,72,117
"Gadsden County, Florida",59,12.8,45660,63,72,117
"Gilchrist County, Florida",68.7,8.3,18582,66.1,72,117
"Glades County, Florida",57,8.8,13811,73.9,72,117
"Gulf County, Florida",72.3,20.2,13639,64.7,72,117
"Hamilton County, Florida",57.7,6,14428,62.7,72,117
"Hardee County, Florida",58.4,5.9,26937,72.1,72,117
"Hendry County, Florida",56.3,5.2,42022,75,72,117
"Hernando County, Florida",81.3,14.1,193920,71,72,117
"Highlands County, Florida",68.8,13.3,106221,73,72,117
"Hillsborough County, Florida",82.2,23.4,1471968,72.2,72,117
"Holmes County, Florida",62.6,7.1,19617,60.8,72,117
"Indian River County, Florida",80.8,23.2,159923,73.8,72,117
"Jackson County, Florida",60.6,9.7,46414,61.6,72,117
"Jefferson County, Florida",68.4,18,14246,63.3,72,117
"Lafayette County, Florida",56.9,6.7,8422,65.1,72,117
"Lake County, Florida",80.2,17.5,367118,71.1,72,117
"Lee County, Florida",81.5,21.1,770577,74.7,72,117
"Leon County, Florida",84.5,27.7,293582,63.5,72,117
"Levy County, Florida",64.8,10.2,41503,68.4,72,117
"Liberty County, Florida",59.2,9.8,8354,63.9,72,117
"Madison County, Florida",57,10.3,18493,63.2,72,117
"Manatee County, Florida",81.8,22.2,403253,72.1,72,117
"Marion County, Florida",76.1,15.2,365579,69.5,72,117
"Martin County, Florida",82,25.9,161000,75.4,72,117
"Miami-Dade County, Florida",76.9,21.7,2716940,77.9,72,117
"Monroe County, Florida",82,28,74228,78.5,72,117
"Nassau County, Florida",85.4,21.8,88625,65.2,72,117
"Okaloosa County, Florida",82.5,21.8,210738,62.4,72,117
"Okeechobee County, Florida",66.4,10,42168,73.8,72,117
"Orange County, Florida",84.3,23.5,1393452,72,72,117
"Osceola County, Florida",81.9,14.9,375751,72.6,72,117
"Palm Beach County, Florida",80.7,27,1496770,76,72,117
"Pasco County, Florida",81.3,17.5,553947,71.3,72,117
"Pinellas County, Florida",80.9,25,974996,72.5,72,117
"Polk County, Florida",73.3,13.9,724777,72.2,72,117
"Putnam County, Florida",63.1,9.6,74521,69,72,117
"St. Johns County, Florida",87.1,30.5,264672,69,72,117
"St. Lucie County, Florida",81.2,16,328297,74.7,72,117
"Santa Rosa County, Florida",85.1,18.6,184313,62,72,117
"Sarasota County, Florida",82.7,28.8,433742,72.1,72,117
"Seminole County, Florida",87.2,28.7,471826,71.7,72,117
"Sumter County, Florida",82.1,28.2,132420,70.6,72,117
"Suwannee County, Florida",67.7,11.3,44417,64.2,72,117
"Taylor County, Florida",67.8,8,21569,65.3,72,117
"Union County, Florida",53.2,7.8,15237,65.1,72,117
"Volusia County, Florida",78.2,17.9,553284,71.4,72,117
"Wakulla County, Florida",78.9,13.2,33739,64.4,72,117
"Walton County, Florida",80.3,21.2,74071,62.4,72,117
"Washington County, Florida",66.3,8.6,25473,62,72,117
"Appling County, Georgia",51.3,6.4,18386,61.6,68,57
"Atkinson County, Georgia",53.1,7.9,8165,59.9,68,57
"Bacon County, Georgia",54.9,6.1,11164,61.6,68,57
"Baker County, Georgia",38.8,16.1,3038,58.7,68,57
"Baldwin County, Georgia",71.3,15.3,44890,57.4,68,57
"Banks County, Georgia",67,10.8,19234,53.5,68,57
"Barrow County, Georgia",80.8,13,83240,54.2,68,57
"Bartow County, Georgia",75.1,13.1,107738,52.6,68,57
"Ben Hill County, Georgia",57.2,7.5,16700,59.3,68,57
"Berrien County, Georgia",62.7,9,19397,58.4,68,57
"Bibb County, Georgia",69.3,16.5,153159,57.8,68,57
"Bleckley County, Georgia",68.1,11.5,12873,59,68,57
"Brantley County, Georgia",59.6,4.7,19109,62,68,57
"Brooks County, Georgia",59.9,11.8,15457,59.6,68,57
"Bryan County, Georgia",79.5,20.1,39627,61.5,68,57
"Bulloch County, Georgia",76.1,15.2,79608,60.5,68,57
"Burke County, Georgia",62.6,9.4,22383,58.7,68,57
"Butts County, Georgia",74.9,7.7,24936,56.4,68,57
"Calhoun County, Georgia",55.5,9,6189,58.2,68,57
"Camden County, Georgia",77.8,14.2,54666,64,68,57
"Candler County, Georgia",56.2,7.5,10803,60.4,68,57
"Carroll County, Georgia",73.5,13.9,119992,54,68,57
"Catoosa County, Georgia",73.6,15.9,67580,51.5,68,57
"Charlton County, Georgia",59.3,8.9,13392,63.7,68,57
"Chatham County, Georgia",78.3,23.3,289430,62.1,68,57
"Chattahoochee County, Georgia",71.8,12.1,10907,56.9,68,57
"Chattooga County, Georgia",58.8,6.7,24789,51.1,68,57
"Cherokee County, Georgia",88.9,24.5,258773,53,68,57
"Clarke County, Georgia",81.9,25.5,128331,54.5,68,57
"Clay County, Georgia",52.2,12,3045,58.4,68,57
"Clayton County, Georgia",75.5,11.7,292256,55.8,68,57
"Clinch County, Georgia",58.2,7.3,6618,61.6,68,57
"Cobb County, Georgia",88.8,32.5,760141,54.1,68,57
"Coffee County, Georgia",62.3,8,43273,60.2,68,57
"Colquitt County, Georgia",56.3,8.9,45600,57.6,68,57
"Columbia County, Georgia",84.4,23.9,156714,57.3,68,57
"Cook County, Georgia",62.1,10.3,17270,57.9,68,57
"Coweta County, Georgia",82.5,22,148509,55.9,68,57
"Crawford County, Georgia",64,7.5,12404,57.7,68,57
"Crisp County, Georgia",56.2,9.2,22372,58.4,68,57
"Dade County, Georgia",62.6,10.9,16116,50.5,68,57
"Dawson County, Georgia",85.2,23.2,26108,52,68,57
"Decatur County, Georgia",50.3,9.4,26404,61.3,68,57
"DeKalb County, Georgia",80.4,31,759297,54.9,68,57
"Dodge County, Georgia",63,11.2,20605,59.5,68,57
"Dooly County, Georgia",58.6,9.6,13390,58.6,68,57
"Dougherty County, Georgia",65,14.4,87956,57.9,68,57
"Douglas County, Georgia",82.8,18.1,146343,54.5,68,57
"Early County, Georgia",40.2,9.1,10190,59.6,68,57
"Echols County, Georgia",54.8,5.2,4006,61.6,68,57
"Effingham County, Georgia",78.6,15.1,64296,60.7,68,57
"Elbert County, Georgia",60,8.3,19194,55.5,68,57
"Emanuel County, Georgia",58.9,7.5,22646,59.7,68,57
"Evans County, Georgia",56,10.8,10654,61,68,57
"Fannin County, Georgia",77.8,16.9,26188,49.3,68,57
"Fayette County, Georgia",90.2,31.7,114421,56.1,68,57
"Floyd County, Georgia",69.3,14.2,98498,51.6,68,57
"Forsyth County, Georgia",92,34.6,244252,53,68,57
"Franklin County, Georgia",64.4,11.5,23349,53.8,68,57
"Fulton County, Georgia",83.9,36.7,1063937,54.7,68,57
"Gilmer County, Georgia",72,15.7,31369,50.6,68,57
"Glascock County, Georgia",54.7,7.1,2971,57.4,68,57
